year,month,rainfall_mm,temp_c,humidity_pct,soil_moisture,source,water_level_cm,level_lag_1,rain_lag_1,level_lag_2,rain_lag_2,level_lag_3,rain_lag_3,level_lag_4,rain_lag_4,level_lag_5,rain_lag_5,level_lag_6,rain_lag_6,rain_roll3,rain_roll6,rain_roll12,level_roll3,month_sin,month_cos,is_monsoon,is_winter,urban_factor
1924,12,4.83,-1.08,52.7,0.2317,synthetic,190.10941144601702,220.4940591675568,10.07,251.95491664207506,32.19,273.9471339235795,119.43,237.49303124588593,154.01,169.70807628015558,169.99,79.75295853956489,98.34,15.696666666666665,81.75333333333333,54.69,220.85279575188295,-2.4492935982947064e-16,1.0,0,1,0.4
1925,1,16.8,-0.63,56.62,0.1884,synthetic,171.45897485232936,190.10941144601702,4.83,220.4940591675568,10.07,251.95491664207506,32.19,273.9471339235795,119.43,237.49303124588593,154.01,169.70807628015558,169.99,10.566666666666668,56.221666666666664,54.6225,194.02081515530105,0.49999999999999994,0.8660254037844387,0,1,0.4035
1925,2,13.74,8.42,60.15,0.2279,synthetic,154.12789976026295,171.45897485232936,16.8,190.10941144601702,4.83,220.4940591675568,10.07,251.95491664207506,32.19,273.9471339235795,119.43,237.49303124588593,154.01,11.790000000000001,32.843333333333334,54.39083333333334,171.89876201953643,0.8660254037844386,0.5000000000000001,0,1,0.4035
1925,3,9.89,14.54,56.66,0.2293,synthetic,136.0090046738946,154.12789976026295,13.74,171.45897485232936,16.8,190.10941144601702,4.83,220.4940591675568,10.07,251.95491664207506,32.19,273.9471339235795,119.43,13.476666666666668,14.586666666666666,54.24,153.86529309549564,1.0,6.123233995736766e-17,0,0,0.4035
1925,4,6.66,22.22,49.47,0.1641,synthetic,118.75760505655387,136.0090046738946,9.89,154.12789976026295,13.74,171.45897485232936,16.8,190.10941144601702,4.83,220.4940591675568,10.07,251.95491664207506,32.19,10.096666666666666,10.331666666666667,54.071666666666665,136.29816983023716,0.8660254037844387,-0.49999999999999983,0,0,0.4035
1925,5,25.69,30.02,54.64,0.2301,synthetic,116.0998305334503,118.75760505655387,6.66,136.0090046738946,9.89,154.12789976026295,13.74,171.45897485232936,16.8,190.10941144601702,4.83,220.4940591675568,10.07,14.08,12.935000000000002,55.13666666666668,123.62214675463292,0.49999999999999994,-0.8660254037844387,0,0,0.4035
1925,6,73.23,29.03,56.81,0.2461,synthetic,142.14105039326554,116.0998305334503,25.69,118.75760505655387,6.66,136.0090046738946,9.89,154.12789976026295,13.74,171.45897485232936,16.8,190.10941144601702,4.83,35.193333333333335,24.334999999999997,53.04416666666666,125.66616199442323,1.2246467991473532e-16,-1.0,1,0,0.4035
1925,7,207.37,30.34,66.9,0.4247,synthetic,245.44148650057335,142.14105039326554,73.23,116.0998305334503,25.69,118.75760505655387,6.66,136.0090046738946,9.89,154.12789976026295,13.74,171.45897485232936,16.8,102.09666666666668,56.096666666666664,56.15916666666667,167.89412247576306,-0.4999999999999998,-0.8660254037844388,1,0,0.4035
1925,8,200.94,22.05,80.46,0.3404,synthetic,328.7692914877267,245.44148650057335,207.37,142.14105039326554,73.23,116.0998305334503,25.69,118.75760505655387,6.66,136.0090046738946,9.89,154.12789976026295,13.74,160.51333333333335,87.29666666666667,60.07,238.7839427938552,-0.8660254037844384,-0.5000000000000004,1,0,0.4035
1925,9,110.77,15.54,87.39,0.3845,synthetic,345.2481959139001,328.7692914877267,200.94,245.44148650057335,207.37,142.14105039326554,73.23,116.0998305334503,25.69,118.75760505655387,6.66,136.0090046738946,9.89,173.02666666666667,104.11,59.348333333333336,306.4863246340667,-1.0,-1.8369701987210297e-16,1,0,0.4035
